Root,25.000000,5.000000,1.066495,2024-04-14T00:58:09.703586100Z
Root,4.000000,2.000000,1.189207,2024-04-14T00:58:20.030643700Z
Root,2.000000,4.000000,2.000000,2024-04-14T00:58:40.170888500Z
Logorithm,2.000000,8.000000,3.000000,2024-04-14T01:11:02.613698600Z
/,9.000000,2.000000,4.500000,2024-04-14T00:39:58.230121600Z
+,4.510000,1.000000,5.510000,2024-04-14T00:40:05.967286400Z
+,5.000000,5.000000,10.000000,2024-04-14T02:06:41.482523700Z
*,5.516000,3.000000,16.548000,2024-04-14T00:40:10.699755500Z
/,148.932000,8.000000,18.616500,2024-04-14T00:40:17.419018900Z
+,18.616500,3.000000,21.616500,2024-04-14T00:40:19.199596600Z
Exponent,5.000000,2.000000,25.000000,2024-04-14T00:57:56.017070400Z
*,5.000000,6.000000,30.000000,2024-04-14T01:16:01.693443100Z
*,16.548000,9.000000,148.932000,2024-04-14T00:40:15.243844Z
Exponent,30.000000,2.000000,900.000000,2024-04-14T01:16:09.641018100Z
